125, 85
142, 88
159, 93
175, 98
190, 105
202, 115
213, 126
221, 139
222, 155
219, 172
210, 186
199, 200
184, 211
166, 216
148, 217
129, 217
110, 217
112, 90
103, 95
98, 104
97, 116
99, 126
94, 154
89, 165
87, 178
90, 190
97, 199
113, 141
124, 141
136, 141
148, 141
157, 133
159, 139
160, 146
157, 153
155, 159
121, 103
115, 110
114, 119
118, 128
122, 120
123, 110
114, 162
107, 169
107, 178
111, 186
115, 180
115, 171
183, 131
177, 136
172, 143
174, 149
171, 156
174, 166
177, 175
184, 168
188, 159
189, 152
190, 145
188, 138
183, 134
180, 144
181, 150
179, 157
178, 171
179, 158
181, 150
180, 144
