142, 69
165, 71
187, 76
209, 82
230, 89
249, 102
266, 118
278, 138
281, 159
276, 179
262, 197
246, 212
227, 224
206, 230
185, 235
164, 240
142, 242
135, 84
128, 97
127, 113
131, 129
137, 143
136, 176
130, 191
127, 206
127, 221
134, 233
151, 160
167, 161
183, 161
199, 161
208, 145
211, 153
214, 160
211, 168
208, 175
151, 104
146, 114
147, 126
155, 136
157, 125
157, 113
155, 183
146, 193
145, 205
151, 215
156, 207
157, 195
232, 126
229, 140
226, 153
229, 161
226, 169
228, 181
230, 193
240, 181
247, 170
248, 161
247, 152
242, 140
234, 131
235, 152
236, 161
234, 170
232, 187
235, 170
236, 160
235, 152
